Player,Tm,Pos,FG%,FT%,3P%,PTS
Dee Gibson,TRI,F-G,0.314,0.718,0,281
Hoot Gibson,TOT,F-C,0.476333,0.529667,0,117
Chuck Gilmur,WSC,F-C,0.307,0.6055,0,234
Normie Glick,MNL,F,1,0,0,2
Paul Gordon,BLB,F,0,0.6,0,3
Joe Graboski,CHS,F-C,0.348667,0.695,0,762
Bud Grant,MNL,F,0.3265,0.5195,0,124
Don Grate,SHE,F-G,0.167,1,0,4
Alex Groza,INO,C,0.474,0.7575,0,1462
Al Guokas,TOT,F-G,0.292667,0.697333,0,142
Robert Hahn,CHS,C,0.308,0.286,0,10
Chick Halbert,WSC,C,0.3725,0.667,0,414
Bruce Hale,INO,G-F,0.3245,0.6955,0,375
Dale Hamilton,WAT,G-F,0.242,0.474,0,25
Alex Hannum*,SYR,PF,0.353,0.6325,0,384
John Hargis,AND,G-F,0.38475,0.6545,0,222
Bob Harris,FTW,F-C,0.355286,0.653714,0,355
Bob Harrison,MNL,G,0.344727,0.680273,0,436
Billy Hassett,TOT,G,0.2785,0.64625,0,169
Marshall Hawkins,INO,F,0.282,0.689,0,152
Bill Henry,TOT,C,0.326333,0.669667,0,197
Bill Herman,DNN,G,0.385,0.545,0,56
Kleggie Hermsen,CHS,C-F,0.1846,0.608,0,220
Sonny Hertzberg,BOS,G,0.317,0.7875,0,664
Paul Hoffman,BLB,G-F,0.3316,0.6794,0,569
Joe Holland,INO,SF,0.333667,0.613,0,361
Red Holzman*,ROC,PG,0.3042,0.6998,0,324
Gene James,NYK,F,0.3255,0.54875,0,114
Howie Janotta,BLB,F,0.3,0.813,0,31
Tony Jaros,MNL,F-G,0.299,0.6905,0,240
Buddy Jeannette*,BLB,G,0.284,0.82,0,193
Arnie Johnson,ROC,SF,0.41675,0.73275,0,594
Ralph Johnson,TOT,PG,0.324,0.745,0,382
Wah Wah,INO,PF,0.359667,0.764333,0,476
Noble Jorgensen,SHE,C,0.368833,0.7275,0,487
George Kaftan,BOS,SF,0.363,0.6555,0,322
Leo Katkaveck,WSC,G,0.306,0.607,0,236
Jack Kerris,TOT,PF,0.35675,0.672125,0,351
Bob Kinney,BOS,C-F,0.375,0.628,0,667
Walt Kirk,TOT,PG,0.2685,0.71175,0,202
Leo Klier,FTW,F-G,0.304,0.742,0,455
Duane Klueh,TOT,G,0.38225,0.70825,0,349
Lee Knorek,BLB,C,0,0,0,0
Milo Komenich,AND,F-C,0.283,0.584,0,634
Leo Kubiak,WAT,G,0.326,0.814,0,710
Frank Kudelka,CHS,G-F,0.321167,0.673667,0,300
Walt Lautenbach,SHE,G-F,0.301,0.691,0,238
Tony Lavelli,BOS,F,0.358,0.8535,0,295
Ed Leede,BOS,F-G,0.3325,0.7235,0,474
Andrew Levane,SYR,F-G,0.229,0.651,0,170
Freddie Lewis,TOT,F-G,0.312,0.78,0,121
Ron Livingstone,TOT,C,0.27775,0.70275,0,295
John Logan,STB,G,0.3215,0.7665,0,493
Ray Lumpp,NYK,G,0.355,0.7995,0,369
Ed Macauley*,STB,C-F,0.422,0.7443,0,1123
Johnny Macknowski,SYR,G-F,0.317,0.727,0,411
John Mahnken,TOT,C,0.293778,0.617333,0,176
John Mandic,TOT,F-C,0.238667,0.785,0,44
Slater Martin*,MNL,PG,0.360385,0.755692,0,619
Ariel Maughan,STB,F,0.2955,0.7815,0,365
Matt Mazza,SHE,F,0.3,0.711,0,98
Mike McCarron,TOT,G,0.2,0.589,0,6
Dick McGuire*,NYK,PG,0.390091,0.643455,0,538
Bones McKinney,WSC,SF,0.3058,0.6954,0,270
Mal McMullen,INO,F-C,0.303,0.5655,0,263
Dick Mehen,WAT,PF,0.363333,0.714,0,423
Ken Menke,WAT,G,0.353,0.375,0,15
Stan Miasek,CHS,C-F,0.3682,0.6506,0,460
Ed Mikan,TOT,C,0.295444,0.753222,0,230
George Mikan*,MNL,C,0.399,0.7815,0,1409
Vern Mikkelsen*,MNL,PF,0.4014,0.7633,0,1006
Al Miksis,WAT,C,0.238,0.81,0,27
Murray Mitchell,AND,C,0.333,0,0,2
Leo Mogus,PHW,F-C,0.374,0.6715,0,350
Max Morris,SHE,F-C,0.363,0.667,0,781
Joe Mullaney,BOS,G,0.129,0.8,0,30
Jerry Nagel,FTW,G,0.214,0.25,0,13
Jack Nichols,TOT,PF,0.3623,0.7605,0,575
Richie Niemiera,TOT,G-F,0.318667,0.747333,0,216
Paul Noel,NYK,F,0.280333,0.662333,0,128
Jim Nolan,PHW,C,0.19,0,0,8
Johnny Norlander,WSC,F,0.3565,0.6335,0,136
George Nostrand,TOT,C-F,0.3505,0.5225,0,106
Mike Novak,TOT,C-F,0.15,0.6385,0,49
Dermie O'Connell,TOT,G,0.261,0.516333,0,179
Andy O'Donnell,BLB,G,0.352,0.778,0,90
Dick O'Keefe,WSC,G-F,0.256,0.69,0,270
John Oldham,FTW,G,0.3155,0.648,0,463
Gene Ollrich,WAT,G,0.236,0.714,0,44
Johnny Orr,TOT,F,0.341667,0.857,0,61
Don Otten,TOT,C,0.333,0.755727,0,405
Mac Otten,TOT,F-C,0.334667,0.533333,0,94
Red Owens,TOT,SG,0.312667,0.621167,0,156
Easy Parham,STB,F-G,0.329,0.4135,0,184
Jack Parkinson,INO,G,0.083,1,0,3
Charlie Parsley,PHW,G,0.258,0.857,0,22
Stan Patrick,TOT,F-G,0.387667,0.58,0,214
Johnny Payak,TOT,SG,0.3255,0.68875,0,267
Warren Perkins,TRI,G-F,0.309,0.618,0,383
Ed Peterson,SYR,C,0.36675,0.63525,0,290
Jack Phelan,TOT,F,0.33,0.570333,0,150
Andy Phillip*,CHS,G-F,0.372889,0.685,0,591
Jim Pollard*,MNL,SF,0.355833,0.762833,0,829
John Pritchard,WAT,C,0.31,0.364,0,22
Les Pugh,BLB,C-F,0.249,0.846,0,251
Don Putman,STB,G,0.255,0.635,0,135
George Ratkovicz,SYR,PF,0.340625,0.62875,0,477
Don Ray,TRI,F-C,0.323,0.698,0,364
Chick Reiser,WSC,G-F,0.305,0.835,0,606
Arnie Risen*,ROC,C,0.372778,0.701333,0,737
Tex Ritter,NYK,G-F,0.358,0.7,0,226
Bill Roberts,STB,C,0.347,0.718,0,182
Red Rocha,STB,C,0.374857,0.765571,0,734
Kenny Rollins,CHS,PG,0.336,0.7785,0,226
Bob Royer,DNN,G,0.338,0.707,0,197
Jerry Rullo,PHW,G,0.333,1,0,7
Ed Sadowski,TOT,C,0.319667,0.724333,0,581
Kenny Sailors,DNN,G,0.29925,0.703,0,493
Pep Saul,ROC,SG,0.360667,0.737,0,358
Herm Schaefer,MNL,G-F,0.389,0.851,0,330
Marv Schatzman,BLB,F,0.247,0.58,0,115
Fred Schaus,FTW,F,0.365429,0.806429,0,649
Dolph Schayes*,SYR,F-C,0.374067,0.846267,0,1229
Milt Schoon,SHE,C,0.41,0.653,0,496
Howie Schultz,TOT,PF,0.27,0.7048,0,293
Dick Schulz,TOT,F-G,0.291,0.73775,0,104
Fred Scolari,WSC,PG,0.33575,0.826625,0,623
Wayne See,WAT,G,0.373,0.696,0,320
Glen Selbo,SHE,G-F,0.196,0.759,0,42
Rollie Seltz,AND,G-F,0.301,0.769,0,266
Jim Seminoff,BOS,G-F,0.3,0.755,0,312
George Senesky,PHW,PG,0.342,0.6804,0,457
Paul Seymour,SYR,G-F,0.313273,0.728909,0,523
Carl Shaeffer,INO,F-G,0.321,0.7805,0,82
Howie Shannon,BOS,G-F,0.344,0.786,0,587
Charley Shipp,WAT,G-F,0.255,0.725,0,107
Connie Simmons,NYK,C-F,0.358714,0.673,0,582
Belus Smawley,STB,SG,0.3318,0.8352,0,467
Jack Smiley,TOT,F-G,0.227333,0.626,0,221
Chips Sobek,SHE,G-F,0.378,0.761,0,346
Odie Spears,CHS,SF,0.367714,0.786429,0,518
Art Spector,BOS,F,0.167,0.25,0,5
Ed Stanczak,AND,F,0.2945,0.776,0,290
Gene Stump,TOT,F-G,0.295,0.645,0,108
Mike Todorovich,TOT,F-C,0.3,0.69525,0,559
Jack Toomay,DNN,C-F,0.397,0.705,0,594
Bob Tough,TOT,G-F,0.281333,0.718333,0,75
Blackie Towery,BLB,F-C,0.327,0.757,0,597
Dick Triptow,BLB,G-F,0,1,0,2
Butch Van,NYK,G-F,0.329,0.716,0,206
Gene Vance,TRI,G-F,0.337,0.687,0,156
Ernie Vandeweghe,NYK,F-G,0.396333,0.785333,0,355
Floyd Volker,TOT,F-C,0.312667,0.505333,0,264
Whitey Von,TOT,G-F,0.355333,0.634333,0,208
Clint Wager,FTW,C-F,0.281,0.617,0,143
Danny Wagner,SHE,G,0.352,0.886,0,69
Brady Walker,BOS,PF,0.3932,0.673,0,302
Paul Walther,TOT,SG,0.3715,0.650125,0,391
Bobby Wanzer*,ROC,G,0.404125,0.79925,0,788
Murray Wier,TRI,G,0.327,0.693,0,429
D.C. Wilcutt,STB,G,0.329,0.69,0,77
Bob Wood,SHE,G,0.214,1,0,7
Max Zaslofsky,CHS,SG,0.3554,0.7508,0,572
Paul Arizin*,PHW,SF,0.4207,0.8084,0,1626
Ed Beach,TOT,F,0.146667,0.444667,0,14
Leon Blevins,INO,G,0.25,0,0,2
Ike Borsavage,PHW,C-F,0.351,0.667,0,64
Art Burris,FTW,SF,0.26325,0.63425,0,74
Gerry Calabrese,SYR,SG,0.3495,0.701,0,246
Cal Christensen,TRI,SF,0.3274,0.5934,0,301
Nat Clifton*,NYK,PF,0.361,0.636625,0,680
Chuck Cooper,BOS,F,0.332625,0.742625,0,378
Bob Cousy*,BOS,PG,0.371857,0.814571,0,1211
Hank DeZonie,TRI,C-F,0.24,0.714,0,17
Bob Donham,BOS,SG,0.48025,0.508,0,454
Ray Ellefson,NYK,C,0,1,0,4
Larry Foust,FTW,C,0.408333,0.74575,0,933
Ed Gayda,TRI,G-F,0.413,0.75,0,56
Joe Hutton,MNL,SG,0.3315,0.687,0,151
Bob Lavoy,INO,PF,0.391833,0.687167,0,420
Earl Lloyd*,WSC,SF,0.364889,0.761556,0,520
Don Lofgran,TOT,F-C,0.32325,0.67875,0,316
Norm Mager,BLB,F,0.282,0.786,0,124
Joe McNamee,ROC,SF,0.2965,0.6215,0,144
Chuck Mrazovich,INO,F,0.35,0.604,0,85
Ken Murray,TOT,G-F,0.320333,0.741333,0,490
Tommy O'Keefe,TOT,G,0.358333,0.805667,0,15
Kevin O'Shea,MNL,G,0.3412,0.676,0,272
Don Rehfeldt,BLB,SF,0.35525,0.7495,0,238
Jim Riffey,FTW,F,0.351,0.769,0,150
Alan Sawyer,WSC,F,0.37,0.86,0,217
Herb Scherer,TRI,C,0.289,0.607,0,57
Dick Schnittker,WSC,SF,0.378333,0.812333,0,505
Bill Sharman*,WSC,SG,0.421455,0.883909,0,1151
Don Barksdale*,BLB,PF,0.37075,0.66125,0,723
Elmer Behnke,MLH,C,0.273,0.571,0,16
Stan Brown,PHW,F,0.349,0.556,0,54
Ed Dahler,PHW,F,0.368,1,0,35
Nate DeLong,MLH,C,0.476,0.686,0,64
Dick Dickey,BOS,PG,0.294,0.681,0,127
Jake Fendley,FTW,SG,0.359,0.728,0,143
Jerry Fowler,MLH,C,0.308,0.25,0,9
Lew Hitch,MNL,PF,0.37475,0.687625,0,295
Mel Hutchins,MLH,C,0.389143,0.660286,0,693
Neil Johnston*,PHW,C,0.434375,0.763125,0,1252
Jack Kiley,FTW,SG,0.214,0.778,0,62
George King,SYR,PG,0.382833,0.641667,0,703
John McConathy,MLH,F,0.138,0.429,0,14
Alfred McGuire*,NYK,PG,0.3575,0.578,0,189
Dave Minor,BLB,SG,0.362,0.753,0,320
Ralph O'Brien,INO,SG,0.3622,0.7924,0,223
Wally Osterkorn,SYR,SF,0.30675,0.576,0,359
Mel Payton,PHW,SF,0.3715,0.7475,0,297
John Pilch,MNL,F,0.1,0.5,0,5
Ray Ragelis,ROC,SF,0.26,0.621,0,68
Sam Ranzino,ROC,SG,0.333,0.703,0,86
John Rennicke,MLH,G,0.222,0.333,0,11
Don Savage,SYR,F-G,0.2625,0.75,0,27
Chuck Share,FTW,C,0.378,0.680909,0,499
Zeke Sinicola,FTW,G,0.25,0.25,0,6
Whitey Skoog,MNL,SG,0.379833,0.805,0,466
Jim Slaughter,BLB,C,0.321,0.603,0,147
Bill Tosheff,INO,PG,0.313667,0.791,0,619
Bob Wilson,MLH,PG,0.299,0.578,0,236
Jim Baechtold,BLB,SF,0.3852,0.7738,0,624
Jim Brasco,TOT,G,0.266333,0.793333,0,51
Dick Bunt,TOT,PG,0.276333,0.709,0,61
Gene Conley,BOS,PF,0.362833,0.642,0,344
Pete Darcey,MLH,C,0.167,0.556,0,11
Blaine Denning,BLB,G,0.4,1,0,5
Danny Finn,PHW,SG,0.321333,0.601,0,347
Dick Groat,FTW,PG,0.368,0.79,0,309
Don Hanrahan,INO,F,0.344,0.733,0,33
Don Henriksen,BLB,C,0.35525,0.694,0,351
Jim Holstein,MNL,SF,0.3145,0.65,0,214
Bob Lochmueller,SYR,SF,0.322,0.607,0,232
Mo Mahoney,BOS,F,0.2,0.4,0,6
Al Masino,MLH,PG,0.41125,0.611,0,140
Jack McCloskey,PHW,SG,0.333,0,0,6
Bucky McConnell,MLH,PG,0.38,0.483,0,68
George McLeod,BLB,F,0.125,0.533,0,12
Jack McMahon,ROC,PG,0.3368,0.6178,0,475
Monk Meineke,FTW,PF,0.365,0.743,0,467
Eddie Miller,TOT,C,0.34525,0.64225,0,546
Bill Mlkvy,PHW,SF,0.305,0.646,0,181
Jim Mooney,PHW,SF,0.365,0.675,0,135
Bob Naber,INO,F,0,0.5,0,1
John O'Boyle,MLH,SG,0.308,0.714,0,21
Mike O'Neill,MLH,SF,0.235,1,0,12
Claude Overton,PHW,SG,0.253,0.667,0,58
Ralph Polson,TOT,PF,0.353667,0.645,0,127
Bob Priddy,BLB,F,0.368,0.571,0,36
Moe Radovich,PHW,PG,0.385,1,0,14
Sherwin Raiken,NYK,G,0.143,0.375,0,9
Gene Rhodes,INO,SG,0.319,0.704,0,337
Dick Surhoff,NYK,SF,0.273,0.6955,0,89
Mark Workman,TOT,PF,0.3375,0.58525,0,179
Zeke Zawoluk,INO,PF,0.370333,0.750667,0,403
Don Ackerman,NYK,PG,0.222,0.536,0,43
Don Asmonga,BLB,G,0.133,1,0,5
Ernie Barrett,BOS,SG,0.351,0.674,0,320
Ernie Beck,PHW,SG,0.363889,0.768333,0,261
Irv Bemoras,MLH,SF,0.344,0.674,0,413
Bill Bolger,BLB,SF,0.407,0.615,0,56
Walt Davis,PHW,PF,0.367714,0.706571,0,255
Gene Dyker,MLH,F,0.231,0.5,0,16
Ed Earle,SYR,PF,0.5,0.5,0,4
Ray Felix,BLB,C,0.401455,0.669182,0,665
Jim Fritsche,TOT,PF,0.237,0.6335,0,151
Jack George,PHW,PG,0.3581,0.7168,0,577
Bato Govedarica,SYR,PG,0.316,0.676,0,75
Norm Grekin,PHW,F,0,0,0,0
Rollen Hans,BLB,SG,0.4095,0.5405,0,278
Bob Houbregs*,TOT,PF,0.380143,0.720857,0,459
Billy Kenville,SYR,PG,0.365667,0.748,0,405
Dick Knostman,SYR,C,0.3,0.636,0,13
Clyde Lovellette*,MNL,C,0.441182,0.763273,0,1086
Jim Luisi,BLB,PG,0.326,0.659,0,89
Jack Molinas,FTW,SF,0.39,0.759,0,370
Jim Neal,SYR,C,0.26,0.629,0,175
Paul Nolen,BLB,C,0,0,0,0
Bob Peterson,TOT,F,0.3332,0.7544,0,98
James Phelan,PHW,G,0,0.5,0,3
Connie Rea,BLB,G-F,0.209,0.313,0,23
Frank Reddout,ROC,F,0.833,0.75,0,13
Al Roges,BLB,SF,0.3675,0.6755,0,315
Ed Smith,NYK,SF,0.286,0.538,0,35
Joe Smyth,TOT,SF,0.343667,0.543333,0,87
Don Sunderlage,MLH,SG,0.294,0.703,0,437
Norm Swanson,ROC,SF,0.226,0.594,0,100
Hal Uplinger,BLB,SG,0.351,0.909,0,86
Isaac Walthour,MLH,G,0.167,0,0,2
George Yardley*,FTW,SF,0.428,0.761778,0,1141
Don Anielak,NYK,F,0,0.75,0,3
Tom Brennan,PHW,SF,0.455,0,0,10
Bob Carney,MNL,SG,0.375,0.525,0,69
Fred Christ,NYK,G,0.278,0.909,0,20
Bert Cook,NYK,SG,0.316,0.68,0,118
Larry Costello,PHW,PG,0.431,0.841667,0,718
George Dempsey,PHW,SG,0.42,0.684286,0,262
Fred Diute,MLH,SG,0.095,0.583,0,11
Dick Farley,SYR,SG,0.384333,0.701667,0,459
Chuck Grigsby,NYK,G,0.368,0.25,0,16
Herm Hedderick,NYK,G,0.222,0,0,4
Ed Kalafat,MNL,PF,0.341667,0.686667,0,491
Mike Kearns,PHW,PG,0,0.25,0,1
Red Kerr,SYR,C,0.41525,0.7225,0,1040
Dan King,BLB,F,0.318,0.5,0,19
Bob Knight,NYK,G-F,0.429,1,0,7
Ronnie MacGilvray,MLH,PG,0.167,0.571,0,8
Tom Marshall,ROC,SF,0.336833,0.748,0,184
Phil Martin,MLH,SF,0.263,1,0,12
Ken McBride,MLH,SG,0.327,0.724,0,117
Carl McNulty,MLH,SG,0.167,0,0,2
Jackie Moore,TOT,F,0.392333,0.625333,0,121
Red Morrison,BOS,C,0.38,0.623333,0,185
Boris Nachamkin,ROC,F,0.3,0.615,0,20
Togo Palazzi,BOS,SG,0.372375,0.7085,0,367
Bob Pettit*,MLH,PF,0.433818,0.763545,0,1898
Frank Ramsey*,BOS,SF,0.397444,0.804556,0,930
Dick Rosenthal,FTW,SF,0.3215,0.6235,0,287
Frank Selvy,TOT,G-F,0.362846,0.699462,0,524
Gene Shue,TOT,PG,0.364333,0.7775,0,860
Art Spoelstra,ROC,C,0.377333,0.697667,0,410
Jim Tucker,SYR,PF,0.356667,0.502,0,135
Jack Turner,NYK,SF,0.37,0.7755,0,241
Bobby Watson,TOT,G,0.323,0.689,0,175
Skippy Whitaker,BOS,PG,0.167,0,0,2
Jesse Arnelle,FTW,PF,0.317,0.623,0,147
Dick Atha,NYK,SG,0.3855,0.8055,0,68
Don Bielke,FTW,C,0.556,0.571,0,14
Ed Conlin,SYR,SF,0.369222,0.733889,0,638
Red Davis,ROC,C,0,1,0,2
Corky Devlin,FTW,SG,0.365333,0.737,0,498
Walter Dukes,NYK,C,0.369375,0.703,0,720
Ron Feiereisel,MNL,G,0.286,0.875,0,30
Al Ferrari,STL,SF,0.3595,0.774667,0,420
Ed Fleming,ROC,SG,0.364,0.7344,0,502
Dick Garmaker,MNL,SG,0.4005,0.787375,0,805
Tom Gola*,PHW,SG,0.436,0.761333,0,730
Chris Harris,TOT,SG,0.248333,0.601333,0,67
Dick Hemric,BOS,PF,0.3735,0.6715,0,431
Larry Hennessy,PHW,SG,0.332,0.766,0,165
Johnny Horan,TOT,F,0.281333,0.903,0,22
Jim Loscutoff,BOS,SF,0.342333,0.593889,0,350
Chuck Mencel,MNL,PG,0.3365,0.7795,0,491
Chuck Noble,FTW,SG,0.338143,0.704857,0,468
Med Park,STL,SF,0.382143,0.730143,0,332
Richie Regan,ROC,PG,0.345333,0.703667,0,595
Dick Ricketts,TOT,PF,0.3212,0.6978,0,516
Bob Santini,NYK,F,0.5,0.5,0,11
Bob Schafer,TOT,SG,0.30625,0.74775,0,124
Kenny Sears,NYK,PF,0.4713,0.7978,0,780
Jack Stephens,STL,SG,0.386,0.692,0,743
Maurice Stokes*,ROC,C,0.350667,0.698,0,1105
Jack Twyman*,ROC,SF,0.449545,0.782727,0,1440
Bob Williams,MNL,F,0.3535,0.6,0,35
Forest Able,SYR,G,0,0,0,0
Bob Armstrong,PHW,C-F,0.297,0.5,0,28
John Barber,STL,F,0.25,0.5,0,7
Gary Bergen,NYK,C,0.273,1,0,8
Al Bianchi,SYR,PG,0.3722,0.7075,0,555
Bob Burrow,ROC,C,0.344,0.4745,0,229
Si Green,ROC,SG,0.375364,0.654364,0,457
Richie Guerin*,NYK,SG,0.4228,0.790867,0,1048
Cliff Hagan*,STL,SF,0.4431,0.7946,0,1344
Tom Heinsohn*,BOS,PF,0.402778,0.79,0,1354
Joe Holup,SYR,SF,0.322,0.7584,0,320
Bob Hopkins,SYR,C,0.3925,0.761,0,559
Phil Jordon,NYK,C-F,0.401182,0.692636,0,564
Hal Lear,PHW,G,0.333,0,0,4
Slick Leonard*,MNL,PG,0.341714,0.735429,0,600
Johnny McCarthy,ROC,PG,0.335833,0.5615,0,408
Willie Naulls,TOT,PF,0.398286,0.785357,0,923
Jim Paxson,MNL,SF,0.456267,0.796933,0.181,843
Dave Piontek,ROC,SF,0.398444,0.630667,0,407
Jim Ray,SYR,G,0.1745,0.3,0,4
Bill Russell*,BOS,C,0.438923,0.559077,0,1117
Ron Shavlik,NYK,F,0.091,0.2,0,5
Ron Sobie,NYK,SG,0.346333,0.6875,0,287
Norm Stewart,STL,F,0.267,0.333,0,10
Bill Thieben,FTW,PF,0.323,0.624,0,168
Lou Tsioropoulos,BOS,SF,0.314,0.739667,0,303
Doug Bolstorff,DET,G,0.4,0,0,4
George Brown,MNL,F,0,0.5,0,1
Dick Duckett,CIN,PG,0.342,0.889,0,132
Pat Dunn,PHW,SG,0.311,0.824,0,70
Bill Ebben,DET,G,0.214,0.75,0,15
Bo Erias,MNL,SF,0.347,0.638,0,148
Larry Friend,NYK,SG,0.327,0.659,0,175
Hot Rod,MNL,SG,0.428368,0.714421,0.0236842,705
McCoy Ingram,MNL,PF,0.262,0.464,0,67
Sam Jones*,BOS,SG,0.4535,0.792917,0,1284
Jim Krebs,MNL,C,0.402143,0.757714,0,589
Brendan McCann,NYK,PG,0.106667,0.558667,0,24
Worthy Patterson,STL,G,0.375,0.5,0,7
Jerry Paulson,CIN,G,0.348,0.667,0,20
Ray Radziszewski,PHW,F,0,0,0,0
Lennie Rosenbluth,PHW,SF,0.32,0.6775,0,171
Woody Sauldsberry,PHW,PF,0.348778,0.595778,0,641
Guy Sparrow,NYK,SF,0.3314,0.5128,0,300
Charlie Tyra,NYK,C,0.3804,0.6736,0,618
Jim Walsh,PHW,F,0.185,0.588,0,20
Win Wilfong,STL,PG,0.3565,0.757,0,456
Elgin Baylor*,MNL,SF,0.430643,0.7725,0,1653
Jerry Bird,NYK,F,0.375,1,0,25
Bucky Bockhorn,CIN,SG,0.399,0.743857,0,775
Pete Brennan,NYK,F,0.302,0.56,0,40
Barney Cable,DET,PF,0.40675,0.65125,0,314
Archie Dees,CIN,PF,0.40775,0.79475,0,387
Connie Dierking,SYR,C,0.3885,0.616571,0,567
Boo Ellis,MNL,PF,0.388,0.6895,0,303
Wayne Embry*,CIN,C,0.432909,0.628545,0,943
Mike Farmer,NYK,SF,0.353333,0.712,0,360
Dave Gambee,STL,SF,0.463286,0.756,0,608
Hal Greer*,SYR,SG,0.449133,0.8,0,1439
Steve Hamilton,MNL,SF,0.374,0.731,0,184
Vern Hatton,TOT,PG,0.347,0.735,0,269
Andy Johnson,PHW,SF,0.3895,0.6005,0,711
K.C. Jones*,BOS,PG,0.383667,0.640111,0,556
Tommy Kearns,SYR,G,1,0,0,2
Shellie McMillon,DET,PF,0.420667,0.606833,0,505
Jim Palmer,CIN,C,0.4224,0.6932,0,441
Jack Parr,CIN,C,0.355,0.603,0,262
Hub Reed,STL,C,0.415556,0.638111,0,365
Guy Rodgers*,PHW,PG,0.368,0.723286,0,772
Phil Rollins,TOT,PG,0.373,0.595875,0,175
Larry Staverman,CIN,PF,0.464125,0.8,0,187
Bennie Swain,BOS,PF,0.406,0.609,0,265
Gary Alcorn,DET,C,0.296,0.723,0,130
Bob Anderegg,NYK,SF,0.385,0.548,0,133
Dick Barnett,SYR,SG,0.445286,0.734286,0,1097
Whitey Bell,NYK,PG,0.3835,0.492,0,91
Wilt Chamberlain*,PHW,C,0.559688,0.495312,0,2122
Bob Ferry,STL,C,0.4215,0.6416,0,578
Johnny Green,NYK,PF,0.500167,0.529222,0,775
Gene Guarilia,BOS,SF,0.36225,0.503,0,103
Tom Hawkins,MNL,SF,0.4474,0.5652,0,667
Bailey Howell*,DET,PF,0.478417,0.757833,0,1480
Maury King,BOS,PG,0.5075,0.412,0,113
Rudy LaRusso,MNL,PF,0.4306,0.7604,0,1150
Nick Mantis,MNL,SG,0.35625,0.496,0,112
Cal Ramsey,TOT,SF,0.343,0.5945,0,50
